วันที่ประเมิน,วันที่ประเมิน_adjust
2565-01-07 00:00:00,2022-01-07
2565-01-27 00:00:00,2022-01-27
2565-01-20 00:00:00,2022-01-20
2565-10-02 00:00:00,2022-10-02
2565-02-17 00:00:00,2022-02-17
2565-03-14 00:00:00,2022-03-14
2565-04-25 00:00:00,2022-04-25
2565-04-19 00:00:00,2022-04-19
2565-04-25 00:00:00,2022-04-25
2565-09-13 00:00:00,2022-09-13
2565-09-21 00:00:00,2022-09-21
2565-11-14 00:00:00,2022-11-14
2565-12-16 00:00:00,2022-12-16
2565-11-25 00:00:00,2022-11-25
2565-12-21 00:00:00,2022-12-21
2565-12-29 00:00:00,2022-12-29
2565-06-06 00:00:00,2022-06-06
2565-06-08 00:00:00,2022-06-08
2565-06-06 00:00:00,2022-06-06
2565-06-08 00:00:00,2022-06-08
14/6/2565,2022-06-14
